"","year","occupation","major","TotalPopulation","Number_of_Men","Number_of_Women","Women_Percentage","Earning","Men_earning","Women_earning","Compare_to_men"
"1",2013,"Chief executives","Management, Business, and Financial",1024259,782400,241859,23.6,"120254","126142","95921","76.042079561129512"
"2",2013,"General and operations managers","Management, Business, and Financial",977284,681627,295657,30.3,"73557","81041","60759","74.97316173294999"
"3",2013,"Legislators","Management, Business, and Financial",14815,8375,6440,43.5,"67155","71530","65325","91.325318048371315"
"4",2013,"Advertising and promotions managers","Management, Business, and Financial",43015,17775,25240,58.7,"61371","75190","55860","74.291794121558723"
"5",2013,"Marketing and sales managers","Management, Business, and Financial",754514,440078,314436,41.7,"78455","91998","65040","70.697189069327592"
"6",2013,"Public relations and fundraising managers","Management, Business, and Financial",44198,16141,28057,63.5,"74114","90071","66052","73.333259317649407"
"7",2013,"Administrative services managers","Management, Business, and Financial",109703,72873,36830,33.6,"62187","66579","55079","82.727286381591796"
"8",2013,"Computer and information systems managers","Management, Business, and Financial",489048,354369,134679,27.5,"99167","101318","90940","89.75700270435658"
"9",2013,"Financial managers","Management, Business, and Financial",990611,460842,529769,53.5,"70456","90278","57406","63.588028091007779"
"10",2013,"Compensation and benefits managers","Management, Business, and Financial",14656,3387,11269,76.9,"71927","97552","68207","(X)"
"11",2013,"Human resources managers","Management, Business, and Financial",307004,125240,181764,59.2,"67669","75328","64662","85.840590484282075"
"12",2013,"Training and development managers","Management, Business, and Financial",41185,20111,21074,51.2,"74735","80754","71091","88.034029274091679"
"13",2013,"Industrial production managers","Management, Business, and Financial",218198,177200,40998,18.8,"72414","74623","65033","87.148734304436971"
"14",2013,"Purchasing managers","Management, Business, and Financial",175540,96499,79041,45,"71237","81528","62785","77.010352271612206"
"15",2013,"Transportation, storage, and distribution managers","Management, Business, and Financial",185512,151841,33671,18.2,"52058","52017","52259","100.46523252013763"
"16",2013,"Farmers, ranchers, and other agricultural managers","Management, Business, and Financial",499775,446121,53654,10.7,"40638","41691","25310","60.708546209013939"
"17",2013,"Construction managers","Management, Business, and Financial",469706,434849,34857,7.4,"68101","69556","62198","89.421473345218232"
"18",2013,"Education administrators","Management, Business, and Financial",708239,272330,435909,61.5,"66889","78115","60580","77.552326697817321"
"19",2013,"Architectural and engineering managers","Management, Business, and Financial",132575,120777,11798,8.9,"121336","121690","113507","93.275536198537267"
"20",2013,"Food service managers","Management, Business, and Financial",740359,407357,333002,45,"36586","41164","31578","76.712661548926235"
